chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2,mean_weight,mean_contrib
House,82,1951,0.5423526570048309,0.43080357142857145,0.44166666666666665,0.4154589371980677,0.19910514541387023,-0.01148883928571428,0.10757142857142855,-0.2623333333333333,0.421,0.28001932367149757,-0.25518357487922705,0.2789014778325123,-0.25985221674876846,0.33675,-0.01825,-0.36836153846153846,0.06906153846153847,-0.13702727272727272,0.8369272727272727,0.8130841121495327,0.44097832859271296
Senate,82,1951,0.4763333333333334,0.5454545454545454,0.6274509803921569,0.4583333333333333,0.3838383838383838,0.03061616161616161,0.0731010101010101,-0.20033333333333336,0.4152156862745098,0.276,-0.29039583333333335,0.276,-0.29039583333333335,NA,NA,-0.2846153846153846,0.09146153846153848,-0.11268,0.75192,0.18691588785046728,0.0890342679127726
House,83,1953,0.5310016943549054,0.4399092970521542,0.47706422018348627,0.4009009009009009,0.32272727272727275,0.01419501133786848,0.11112471655328798,-0.2533440366972477,0.4754816513761468,0.27765765765765765,-0.2460540540540541,0.2794372093023256,-0.25724186046511627,0.223,0.09757142857142856,-0.37764864864864867,0.11327027027027028,-0.124392523364486,0.8512336448598131,0.8130841121495327,0.4317490412044558
Senate,83,1953,0.47858874912648497,0.5370370370370371,0.6226415094339622,0.46296296296296297,0.2336448598130841,0.04139814814814815,0.05742592592592593,-0.19179245283018867,0.4714528301886792,0.28679629629629627,-0.3575925925925926,0.29088679245283017,-0.3566415094339623,0.07,-0.408,-0.28485185185185186,0.17696296296296296,-0.09515384615384616,0.7772692307692307,0.18691588785046728,0.08945584095822148
House,84,1955,0.5563491038675191,0.4178082191780822,0.4085106382978723,0.42857142857142855,0.2511415525114155,-0.02124657534246575,0.13404794520547944,-0.27909787234042555,0.43966382978723406,0.2772512315270936,-0.219743842364532,0.27731794871794874,-0.2355794871794872,0.275625,0.16625,-0.3914469696969697,0.11902272727272728,-0.13511650485436894,0.8505825242718447,0.8130841121495327,0.45235861716330994
Senate,84,1955,0.5107246558197748,0.46464646464646464,0.4901960784313726,0.44680851063829785,0.3877551020408163,0.00595959595959596,0.07011111111111111,-0.2302352941176471,0.4258627450980392,0.2804893617021277,-0.32559574468085106,0.2804893617021277,-0.32559574468085106,NA,NA,-0.35228,0.11096,-0.1128846153846154,0.7286538461538461,0.18691588785046728,0.09546255248967753
House,85,1957,0.5509997549019607,0.42792792792792794,0.4,0.46078431372549017,0.17117117117117117,-0.02961711711711711,0.1364481981981982,-0.2827791666666667,0.4623291666666667,0.2682205882352941,-0.24694117647058825,0.2679183673469388,-0.2638061224489796,0.275625,0.16625,-0.39155882352941174,0.1610735294117647,-0.14052884615384614,0.8562788461538462,0.8130841121495327,0.44800914650907087
Senate,85,1957,0.5018164308176101,0.4752475247524752,0.49056603773584906,0.4583333333333333,0.405940594059406,0.00452475247524752,0.07902970297029703,-0.2339622641509434,0.4559433962264151,0.26785416666666667,-0.3371458333333333,0.2736304347826087,-0.3342391304347826,0.135,-0.404,-0.35842857142857143,0.13471428571428573,-0.09456,0.81572,0.18691588785046728,0.09379746370422617
House,86,1959,0.562427738927739,0.4153498871331828,0.3776223776223776,0.4807692307692308,0.18778280542986425,-0.09696162528216704,0.1895079006772009,-0.2957097902097902,0.4146048951048951,0.26671794871794874,-0.2283653846153846,0.26524161073825503,-0.2498724832214765,0.29814285714285715,0.22942857142857143,-0.38551648351648354,0.17056593406593407,-0.1385480769230769,0.8416730769230769,0.8130841121495327,0.45730105875432986
Senate,86,1959,0.5283922056384743,0.46601941747572817,0.4477611940298507,0.5,0.33980582524271846,-0.08776699029126213,0.112873786407767,-0.27244776119402986,0.3688507462686567,0.2559444444444445,-0.3635277777777778,0.2630588235294118,-0.36114705882352943,0.135,-0.404,-0.3559555555555555,0.1474,-0.10163636363636364,0.8218181818181818,0.18691588785046728,0.09876489825018211
